Cell type	Mark	Array	Control	Treat
brain microvascular endothelial cell	H3K27ac	bsat_1_1(LSAU-BSAT_Composite)	6410	19864
brain microvascular endothelial cell	H3K27ac	bsat_3_1(LSAU-BSAT_Composite)	116	402
brain microvascular endothelial cell	H3K27ac	bsat_4_1	11	33
brain microvascular endothelial cell	H3K27ac	bsat_5_1	23	94
brain microvascular endothelial cell	H3K27ac	bsat_5_2(LSAU-BSAT_Composite)	272	850
brain microvascular endothelial cell	H3K27ac	bsat_7_1	58	293
brain microvascular endothelial cell	H3K27ac	bsat_7_2	150	429
brain microvascular endothelial cell	H3K27ac	bsat_7_3	62	180
brain microvascular endothelial cell	H3K27ac	bsat_7_4	95	356
brain microvascular endothelial cell	H3K27ac	bsat_7_5	68	323
brain microvascular endothelial cell	H3K27ac	bsat_7_6	64	257
brain microvascular endothelial cell	H3K27ac	bsat_7_7	237	997
brain microvascular endothelial cell	H3K27ac	bsat_7_8	214	814
brain microvascular endothelial cell	H3K27ac	bsat_7_9	34	97
brain microvascular endothelial cell	H3K27ac	bsat_7_10	905	2965
brain microvascular endothelial cell	H3K27ac	bsat_8_1	229	725
brain microvascular endothelial cell	H3K27ac	bsat_8_2	35	146
brain microvascular endothelial cell	H3K27ac	bsat_8_3	145	535
brain microvascular endothelial cell	H3K27ac	bsat_8_4	324	1084
brain microvascular endothelial cell	H3K27ac	bsat_8_5	160	581
brain microvascular endothelial cell	H3K27ac	bsat_8_6	13	40
brain microvascular endothelial cell	H3K27ac	bsat_9_1(LSAU-BSAT_Composite,no_beta)	8	44
brain microvascular endothelial cell	H3K27ac	bsat_9_2(LSAU-BSAT_Composite,no_beta)	16	69
brain microvascular endothelial cell	H3K27ac	bsat_9_3(LSAU-BSAT_Composite,no_beta)	24	69
brain microvascular endothelial cell	H3K27ac	bsat_9_4	143	521
brain microvascular endothelial cell	H3K27ac	bsat_9_5	1483	4193
brain microvascular endothelial cell	H3K27ac	bsat_9_6(LSAU-BSAT_Composite,no_beta)	10	50
brain microvascular endothelial cell	H3K27ac	bsat_9_7(LSAU-BSAT_Composite,no_beta)	54	238
brain microvascular endothelial cell	H3K27ac	bsat_10_1(LSAU-BSAT_Composite)	198	784
brain microvascular endothelial cell	H3K27ac	bsat_13_2-DJ13	97	207
brain microvascular endothelial cell	H3K27ac	bsat_13_3-DJ13	32	92
brain microvascular endothelial cell	H3K27ac	bsat_13_4(LSAU-BSAT_Composite)	132	192
brain microvascular endothelial cell	H3K27ac	bsat_13_5	4	2
brain microvascular endothelial cell	H3K27ac	bsat_13_6	42	177
brain microvascular endothelial cell	H3K27ac	bsat_13_7(LSAU-BSAT_Composite,no_beta)	10	6
brain microvascular endothelial cell	H3K27ac	bsat_13_8(LSAU-BSAT_Composite,no_beta)	4	26
brain microvascular endothelial cell	H3K27ac	bsat_14_1(LSAU-BSAT_Composite)	1220	2409
brain microvascular endothelial cell	H3K27ac	bsat_14_2(LSAU-BSAT_Composite)	190	376
brain microvascular endothelial cell	H3K27ac	bsat_14_3-DJ14	26	60
brain microvascular endothelial cell	H3K27ac	bsat_14_4-DJ14	67	633
brain microvascular endothelial cell	H3K27ac	bsat_14_5(LSAU-BSAT_Composite)	804	2049
brain microvascular endothelial cell	H3K27ac	bsat_14_6	66	172
brain microvascular endothelial cell	H3K27ac	bsat_14_8	2436	12231
brain microvascular endothelial cell	H3K27ac	bsat_14_7(LSAU-BSAT_Composite,no_beta)	24	58
brain microvascular endothelial cell	H3K27ac	bsat_14_9	2982	12897
brain microvascular endothelial cell	H3K27ac	bsat_14_10(LSAU-BSAT_Composite,no_beta)	33	81
brain microvascular endothelial cell	H3K27ac	bsat_14_11(LSAU-BSAT_Composite,no_beta)	30	112
brain microvascular endothelial cell	H3K27ac	bsat_14_12(LSAU-BSAT_Composite,no_beta)	12	35
brain microvascular endothelial cell	H3K27ac	bsat_14_13(LSAU-BSAT_Composite,no_beta)	21	28
brain microvascular endothelial cell	H3K27ac	bsat_14_14(LSAU-BSAT_Composite,no_beta)	42	92
brain microvascular endothelial cell	H3K27ac	bsat_14_15(LSAU-BSAT_Composite,no_beta)	42	90
brain microvascular endothelial cell	H3K27ac	bsat_14_16(LSAU-BSAT_Composite,no_beta)	15	48
brain microvascular endothelial cell	H3K27ac	bsat_15_1(LSAU-BSAT_Composite)	636	10324
brain microvascular endothelial cell	H3K27ac	bsat_15_2(LSAU-BSAT_Composite)	2	93
brain microvascular endothelial cell	H3K27ac	bsat_15_3-DJ15	59	213
brain microvascular endothelial cell	H3K27ac	bsat_15_4-DJ15	46	268
brain microvascular endothelial cell	H3K27ac	bsat_15_5(LSAU-BSAT_Composite)	2	50
brain microvascular endothelial cell	H3K27ac	bsat_15_7(LSAU-BSAT_Composite,no_beta)	19	76
brain microvascular endothelial cell	H3K27ac	bsat_15_8(LSAU-BSAT_Composite,no_beta)	88	223
brain microvascular endothelial cell	H3K27ac	bsat_15_9(LSAU-BSAT_Composite,no_beta)	23	74
brain microvascular endothelial cell	H3K27ac	bsat_15_10(LSAU-BSAT_Composite,no_beta)	91	287
brain microvascular endothelial cell	H3K27ac	bsat_16_5(LSAU-BSAT_Composite,no_beta)	115	286
brain microvascular endothelial cell	H3K27ac	bsat_16_6	295	676
brain microvascular endothelial cell	H3K27ac	bsat_16_7	39	185
brain microvascular endothelial cell	H3K27ac	bsat_16_8	32	138
brain microvascular endothelial cell	H3K27ac	bsat_16_9	36	96
brain microvascular endothelial cell	H3K27ac	bsat_16_10	110	419
brain microvascular endothelial cell	H3K27ac	bsat_16_11	184	613
brain microvascular endothelial cell	H3K27ac	bsat_19_1	110	286
brain microvascular endothelial cell	H3K27ac	bsat_19_2	172	603
brain microvascular endothelial cell	H3K27ac	bsat_19_3	74	220
brain microvascular endothelial cell	H3K27ac	bsat_19_4	221	646
brain microvascular endothelial cell	H3K27ac	bsat_19_5	81	211
brain microvascular endothelial cell	H3K27ac	bsat_19_6	53	110
brain microvascular endothelial cell	H3K27ac	bsat_19_7	44	123
brain microvascular endothelial cell	H3K27ac	bsat_19_8	92	235
brain microvascular endothelial cell	H3K27ac	bsat_19_9	110	374
brain microvascular endothelial cell	H3K27ac	bsat_19_10	113	452
brain microvascular endothelial cell	H3K27ac	bsat_19_11	156	375
brain microvascular endothelial cell	H3K27ac	bsat_19_12	169	405
brain microvascular endothelial cell	H3K27ac	bsat_19_13	76	192
brain microvascular endothelial cell	H3K27ac	bsat_19_14	92	362
brain microvascular endothelial cell	H3K27ac	bsat_19_15	107	328
brain microvascular endothelial cell	H3K27ac	bsat_19_16	328	1148
brain microvascular endothelial cell	H3K27ac	bsat_19_17	358	1063
brain microvascular endothelial cell	H3K27ac	bsat_19_18	208	660
brain microvascular endothelial cell	H3K27ac	bsat_19_19	244	804
brain microvascular endothelial cell	H3K27ac	bsat_19_20	153	470
brain microvascular endothelial cell	H3K27ac	bsat_19_21	330	1000
brain microvascular endothelial cell	H3K27ac	bsat_19_22	154	453
brain microvascular endothelial cell	H3K27ac	bsat_19_23	142	383
brain microvascular endothelial cell	H3K27ac	bsat_19_24	251	800
brain microvascular endothelial cell	H3K27ac	bsat_19_25	102	388
brain microvascular endothelial cell	H3K27ac	bsat_19_26	93	289
brain microvascular endothelial cell	H3K27ac	bsat_19_27	76	201
brain microvascular endothelial cell	H3K27ac	bsat_19_28	42	147
brain microvascular endothelial cell	H3K27ac	bsat_19_29	100	251
brain microvascular endothelial cell	H3K27ac	bsat_19_30	58	235
brain microvascular endothelial cell	H3K27ac	bsat_19_31	3	28
brain microvascular endothelial cell	H3K27ac	bsat_19_32	299	983
brain microvascular endothelial cell	H3K27ac	bsat_19_33	254	844
brain microvascular endothelial cell	H3K27ac	bsat_19_34	296	898
brain microvascular endothelial cell	H3K27ac	bsat_19_35	512	2407
brain microvascular endothelial cell	H3K27ac	bsat_19_36	209	662
brain microvascular endothelial cell	H3K27ac	bsat_20_1(LSAU-BSAT_Composite,no_beta)	33	118
brain microvascular endothelial cell	H3K27ac	bsat_20_2(LSAU-BSAT_Composite,no_beta)	92	290
brain microvascular endothelial cell	H3K27ac	bsat_20_3(LSAU-BSAT_Composite,no_beta)	27	110
brain microvascular endothelial cell	H3K27ac	bsat_20_4(LSAU-BSAT_Composite,no_beta)	89	172
brain microvascular endothelial cell	H3K27ac	bsat_20_5(LSAU-BSAT_Composite,no_beta)	48	100
brain microvascular endothelial cell	H3K27ac	bsat_20_6	34	71
brain microvascular endothelial cell	H3K27ac	bsat_20_7(LSAU-BSAT_Composite,no_beta)	15	80
brain microvascular endothelial cell	H3K27ac	bsat_20_8(LSAU-BSAT_Composite,no_beta)	1	18
brain microvascular endothelial cell	H3K27ac	bsat_20_9(LSAU-BSAT_Composite,no_beta)	36	96
brain microvascular endothelial cell	H3K27ac	bsat_21_1(LSAU-BSAT_Composite)	680	3845
brain microvascular endothelial cell	H3K27ac	bsat_21_5-DJ21	8	22
brain microvascular endothelial cell	H3K27ac	bsat_21_6(LSAU-BSAT_Composite)-DJ21	188	387
brain microvascular endothelial cell	H3K27ac	bsat_21_7	3032	8079
brain microvascular endothelial cell	H3K27ac	bsat_21_8	15	52
brain microvascular endothelial cell	H3K27ac	bsat_21_10(LSAU-BSAT_Composite,no_beta)	18	20
brain microvascular endothelial cell	H3K27ac	bsat_22_1(LSAU-BSAT_Composite)	4042	10656
brain microvascular endothelial cell	H3K27ac	bsat_22_2(LSAU-BSAT_Composite)	58	153
brain microvascular endothelial cell	H3K27ac	bsat_22_3(LSAU-BSAT_Composite,no_beta)-DJ22	29	217
brain microvascular endothelial cell	H3K27ac	bsat_22_4-DJ22	56	476
brain microvascular endothelial cell	H3K27ac	bsat_22_5-DJ22	46	135
brain microvascular endothelial cell	H3K27ac	bsat_22_6(LSAU-BSAT_Composite)	2701	14409
brain microvascular endothelial cell	H3K27ac	bsat_22_7	98	390
brain microvascular endothelial cell	H3K27ac	bsat_22_8(LSAU-BSAT_Composite)	1217	2235
brain microvascular endothelial cell	H3K27ac	bsat_22_9(LSAU-BSAT_Composite,no_beta)	20	64
brain microvascular endothelial cell	H3K27ac	bsat_22_10(LSAU-BSAT_Composite,no_beta)	46	196
brain microvascular endothelial cell	H3K27ac	bsat_22_11	28	103
brain microvascular endothelial cell	H3K27ac	bsat_22_12(LSAU-BSAT_Composite)	3801	10678
brain microvascular endothelial cell	H3K27ac	bsat_22_13(LSAU-BSAT_Composite,no_beta)	4	38
brain microvascular endothelial cell	H3K27ac	bsat_22_15(LSAU-BSAT_Composite,no_beta)	16	49
brain microvascular endothelial cell	H3K27ac	bsat_22_16(LSAU-BSAT_Composite,no_beta)	14	39
brain microvascular endothelial cell	H3K27ac	bsat_22_17(LSAU-BSAT_Composite,no_beta)	58	128
brain microvascular endothelial cell	H3K27ac	bsat_22_19(LSAU-BSAT_Composite,no_beta)	9	58
HAP-1	H3K27ac	bsat_1_1(LSAU-BSAT_Composite)	10467	14129
HAP-1	H3K27ac	bsat_3_1(LSAU-BSAT_Composite)	236	334
HAP-1	H3K27ac	bsat_4_1	8	18
HAP-1	H3K27ac	bsat_5_1	36	56
HAP-1	H3K27ac	bsat_5_2(LSAU-BSAT_Composite)	512	742
HAP-1	H3K27ac	bsat_7_1	175	186
HAP-1	H3K27ac	bsat_7_2	272	404
HAP-1	H3K27ac	bsat_7_3	136	161
HAP-1	H3K27ac	bsat_7_4	170	231
HAP-1	H3K27ac	bsat_7_5	171	261
HAP-1	H3K27ac	bsat_7_6	103	195
HAP-1	H3K27ac	bsat_7_7	501	645
HAP-1	H3K27ac	bsat_7_8	429	584
HAP-1	H3K27ac	bsat_7_9	70	97
HAP-1	H3K27ac	bsat_7_10	1839	2781
HAP-1	H3K27ac	bsat_8_1	525	632
HAP-1	H3K27ac	bsat_8_2	108	156
HAP-1	H3K27ac	bsat_8_3	458	734
HAP-1	H3K27ac	bsat_8_4	987	1242
HAP-1	H3K27ac	bsat_8_5	456	633
HAP-1	H3K27ac	bsat_8_6	35	55
HAP-1	H3K27ac	bsat_9_1(LSAU-BSAT_Composite,no_beta)	6	14
HAP-1	H3K27ac	bsat_9_2(LSAU-BSAT_Composite,no_beta)	10	23
HAP-1	H3K27ac	bsat_9_3(LSAU-BSAT_Composite,no_beta)	35	37
HAP-1	H3K27ac	bsat_9_4	293	365
HAP-1	H3K27ac	bsat_9_5	2632	3729
HAP-1	H3K27ac	bsat_9_6(LSAU-BSAT_Composite,no_beta)	4	4
HAP-1	H3K27ac	bsat_9_7(LSAU-BSAT_Composite,no_beta)	40	84
HAP-1	H3K27ac	bsat_10_1(LSAU-BSAT_Composite)	378	424
HAP-1	H3K27ac	bsat_13_1(LSAU-BSAT_Composite)	4	8
HAP-1	H3K27ac	bsat_13_2-DJ13	157	232
HAP-1	H3K27ac	bsat_13_3-DJ13	56	78
HAP-1	H3K27ac	bsat_13_4(LSAU-BSAT_Composite)	6	10
HAP-1	H3K27ac	bsat_13_6	84	93
HAP-1	H3K27ac	bsat_13_7(LSAU-BSAT_Composite,no_beta)	2	4
HAP-1	H3K27ac	bsat_13_8(LSAU-BSAT_Composite,no_beta)	2	4
HAP-1	H3K27ac	bsat_14_1(LSAU-BSAT_Composite)	429	593
HAP-1	H3K27ac	bsat_14_2(LSAU-BSAT_Composite)	417	602
HAP-1	H3K27ac	bsat_14_3-DJ14	6	18
HAP-1	H3K27ac	bsat_14_4-DJ14	460	758
HAP-1	H3K27ac	bsat_14_5(LSAU-BSAT_Composite)	6	34
HAP-1	H3K27ac	bsat_14_6	26	44
HAP-1	H3K27ac	bsat_14_8	2626	3648
HAP-1	H3K27ac	bsat_14_7(LSAU-BSAT_Composite,no_beta)	14	13
HAP-1	H3K27ac	bsat_14_9	510	633
HAP-1	H3K27ac	bsat_14_10(LSAU-BSAT_Composite,no_beta)	19	24
HAP-1	H3K27ac	bsat_14_11(LSAU-BSAT_Composite,no_beta)	40	52
HAP-1	H3K27ac	bsat_14_12(LSAU-BSAT_Composite,no_beta)	9	14
HAP-1	H3K27ac	bsat_14_13(LSAU-BSAT_Composite,no_beta)	22	14
HAP-1	H3K27ac	bsat_14_14(LSAU-BSAT_Composite,no_beta)	83	67
HAP-1	H3K27ac	bsat_14_15(LSAU-BSAT_Composite,no_beta)	45	62
HAP-1	H3K27ac	bsat_14_16(LSAU-BSAT_Composite,no_beta)	22	23
HAP-1	H3K27ac	bsat_15_1(LSAU-BSAT_Composite)	4281	6088
HAP-1	H3K27ac	bsat_15_2(LSAU-BSAT_Composite)	36	61
HAP-1	H3K27ac	bsat_15_3-DJ15	103	199
HAP-1	H3K27ac	bsat_15_4-DJ15	264	512
HAP-1	H3K27ac	bsat_15_5(LSAU-BSAT_Composite)	92	144
HAP-1	H3K27ac	bsat_15_6	10	8
HAP-1	H3K27ac	bsat_15_7(LSAU-BSAT_Composite,no_beta)	32	34
HAP-1	H3K27ac	bsat_15_8(LSAU-BSAT_Composite,no_beta)	179	188
HAP-1	H3K27ac	bsat_15_9(LSAU-BSAT_Composite,no_beta)	21	18
HAP-1	H3K27ac	bsat_15_10(LSAU-BSAT_Composite,no_beta)	104	143
HAP-1	H3K27ac	bsat_16_5(LSAU-BSAT_Composite,no_beta)	160	247
HAP-1	H3K27ac	bsat_16_6	409	516
HAP-1	H3K27ac	bsat_16_7	95	139
HAP-1	H3K27ac	bsat_16_8	69	69
HAP-1	H3K27ac	bsat_16_9	46	91
HAP-1	H3K27ac	bsat_16_10	275	326
HAP-1	H3K27ac	bsat_16_11	282	412
HAP-1	H3K27ac	bsat_19_1	193	144
HAP-1	H3K27ac	bsat_19_2	285	485
HAP-1	H3K27ac	bsat_19_3	127	196
HAP-1	H3K27ac	bsat_19_4	283	366
HAP-1	H3K27ac	bsat_19_5	160	184
HAP-1	H3K27ac	bsat_19_6	67	103
HAP-1	H3K27ac	bsat_19_7	82	120
HAP-1	H3K27ac	bsat_19_8	173	231
HAP-1	H3K27ac	bsat_19_9	261	304
HAP-1	H3K27ac	bsat_19_10	279	338
HAP-1	H3K27ac	bsat_19_11	260	318
HAP-1	H3K27ac	bsat_19_12	226	346
HAP-1	H3K27ac	bsat_19_13	126	188
HAP-1	H3K27ac	bsat_19_14	197	281
HAP-1	H3K27ac	bsat_19_15	177	294
HAP-1	H3K27ac	bsat_19_16	667	958
HAP-1	H3K27ac	bsat_19_17	604	870
HAP-1	H3K27ac	bsat_19_18	459	574
HAP-1	H3K27ac	bsat_19_19	534	653
HAP-1	H3K27ac	bsat_19_20	314	397
HAP-1	H3K27ac	bsat_19_21	559	846
HAP-1	H3K27ac	bsat_19_22	201	261
HAP-1	H3K27ac	bsat_19_23	253	541
HAP-1	H3K27ac	bsat_19_24	452	671
HAP-1	H3K27ac	bsat_19_25	235	544
HAP-1	H3K27ac	bsat_19_26	196	286
HAP-1	H3K27ac	bsat_19_27	143	202
HAP-1	H3K27ac	bsat_19_28	96	129
HAP-1	H3K27ac	bsat_19_29	194	231
HAP-1	H3K27ac	bsat_19_30	139	217
HAP-1	H3K27ac	bsat_19_31	18	34
HAP-1	H3K27ac	bsat_19_32	527	792
HAP-1	H3K27ac	bsat_19_33	570	713
HAP-1	H3K27ac	bsat_19_34	625	931
HAP-1	H3K27ac	bsat_19_35	771	1474
HAP-1	H3K27ac	bsat_19_36	455	672
HAP-1	H3K27ac	bsat_20_1(LSAU-BSAT_Composite,no_beta)	41	90
HAP-1	H3K27ac	bsat_20_2(LSAU-BSAT_Composite,no_beta)	182	301
HAP-1	H3K27ac	bsat_20_3(LSAU-BSAT_Composite,no_beta)	52	134
HAP-1	H3K27ac	bsat_20_4(LSAU-BSAT_Composite,no_beta)	167	193
HAP-1	H3K27ac	bsat_20_5(LSAU-BSAT_Composite,no_beta)	64	73
HAP-1	H3K27ac	bsat_20_6	89	109
HAP-1	H3K27ac	bsat_20_7(LSAU-BSAT_Composite,no_beta)	31	41
HAP-1	H3K27ac	bsat_20_8(LSAU-BSAT_Composite,no_beta)	17	22
HAP-1	H3K27ac	bsat_20_9(LSAU-BSAT_Composite,no_beta)	49	99
HAP-1	H3K27ac	bsat_21_1(LSAU-BSAT_Composite)	9947	13582
HAP-1	H3K27ac	bsat_21_2(LSAU-BSAT_Composite)	39	53
HAP-1	H3K27ac	bsat_21_5-DJ21	100	158
HAP-1	H3K27ac	bsat_21_6(LSAU-BSAT_Composite)-DJ21	164	252
HAP-1	H3K27ac	bsat_21_7	6975	8875
HAP-1	H3K27ac	bsat_21_8	156	188
HAP-1	H3K27ac	bsat_21_10(LSAU-BSAT_Composite,no_beta)	8	22
HAP-1	H3K27ac	bsat_21_11(LSAU-BSAT_Composite,no_beta)	4	2
HAP-1	H3K27ac	bsat_22_1(LSAU-BSAT_Composite)	4987	7325
HAP-1	H3K27ac	bsat_22_2(LSAU-BSAT_Composite)	8	18
HAP-1	H3K27ac	bsat_22_3(LSAU-BSAT_Composite,no_beta)-DJ22	22	47
HAP-1	H3K27ac	bsat_22_4-DJ22	177	274
HAP-1	H3K27ac	bsat_22_5-DJ22	60	94
HAP-1	H3K27ac	bsat_22_6(LSAU-BSAT_Composite)	9435	12473
HAP-1	H3K27ac	bsat_22_7	192	239
HAP-1	H3K27ac	bsat_22_8(LSAU-BSAT_Composite)	2193	2823
HAP-1	H3K27ac	bsat_22_9(LSAU-BSAT_Composite,no_beta)	41	60
HAP-1	H3K27ac	bsat_22_10(LSAU-BSAT_Composite,no_beta)	98	131
HAP-1	H3K27ac	bsat_22_11	67	105
HAP-1	H3K27ac	bsat_22_12(LSAU-BSAT_Composite)	8218	10650
HAP-1	H3K27ac	bsat_22_13(LSAU-BSAT_Composite,no_beta)	13	8
HAP-1	H3K27ac	bsat_22_14	6	5
HAP-1	H3K27ac	bsat_22_15(LSAU-BSAT_Composite,no_beta)	20	37
HAP-1	H3K27ac	bsat_22_16(LSAU-BSAT_Composite,no_beta)	18	38
HAP-1	H3K27ac	bsat_22_17(LSAU-BSAT_Composite,no_beta)	78	121
HAP-1	H3K27ac	bsat_22_19(LSAU-BSAT_Composite,no_beta)	23	33
SJCRH30	H3K27ac	bsat_1_1(LSAU-BSAT_Composite)	14909	21314
SJCRH30	H3K27ac	bsat_3_1(LSAU-BSAT_Composite)	503	640
SJCRH30	H3K27ac	bsat_4_1	26	41
SJCRH30	H3K27ac	bsat_5_1	99	84
SJCRH30	H3K27ac	bsat_5_2(LSAU-BSAT_Composite)	962	1152
SJCRH30	H3K27ac	bsat_7_1	377	475
SJCRH30	H3K27ac	bsat_7_2	689	781
SJCRH30	H3K27ac	bsat_7_3	267	359
SJCRH30	H3K27ac	bsat_7_4	364	404
SJCRH30	H3K27ac	bsat_7_5	331	477
SJCRH30	H3K27ac	bsat_7_6	230	288
SJCRH30	H3K27ac	bsat_7_7	932	1118
SJCRH30	H3K27ac	bsat_7_8	829	1001
SJCRH30	H3K27ac	bsat_7_9	117	136
SJCRH30	H3K27ac	bsat_7_10	3244	3718
SJCRH30	H3K27ac	bsat_8_1	708	907
SJCRH30	H3K27ac	bsat_8_2	153	218
SJCRH30	H3K27ac	bsat_8_3	532	653
SJCRH30	H3K27ac	bsat_8_4	987	1299
SJCRH30	H3K27ac	bsat_8_5	500	644
SJCRH30	H3K27ac	bsat_8_6	40	51
SJCRH30	H3K27ac	bsat_9_1(LSAU-BSAT_Composite,no_beta)	17	14
SJCRH30	H3K27ac	bsat_9_2(LSAU-BSAT_Composite,no_beta)	13	33
SJCRH30	H3K27ac	bsat_9_3(LSAU-BSAT_Composite,no_beta)	52	87
SJCRH30	H3K27ac	bsat_9_4	789	887
SJCRH30	H3K27ac	bsat_9_5	8412	8000
SJCRH30	H3K27ac	bsat_9_6(LSAU-BSAT_Composite,no_beta)	46	44
SJCRH30	H3K27ac	bsat_9_7(LSAU-BSAT_Composite,no_beta)	92	146
SJCRH30	H3K27ac	bsat_10_1(LSAU-BSAT_Composite)	375	654
SJCRH30	H3K27ac	bsat_13_1(LSAU-BSAT_Composite)	44	44
SJCRH30	H3K27ac	bsat_13_2-DJ13	91	157
SJCRH30	H3K27ac	bsat_13_3-DJ13	203	254
SJCRH30	H3K27ac	bsat_13_4(LSAU-BSAT_Composite)	119	170
SJCRH30	H3K27ac	bsat_13_5	2	3
SJCRH30	H3K27ac	bsat_13_6	219	307
SJCRH30	H3K27ac	bsat_13_7(LSAU-BSAT_Composite,no_beta)	9	27
SJCRH30	H3K27ac	bsat_13_8(LSAU-BSAT_Composite,no_beta)	25	28
SJCRH30	H3K27ac	bsat_13_9(LSAU-BSAT_Composite,no_beta)	6	2
SJCRH30	H3K27ac	bsat_14_1(LSAU-BSAT_Composite)	725	2791
SJCRH30	H3K27ac	bsat_14_2(LSAU-BSAT_Composite)	182	369
SJCRH30	H3K27ac	bsat_14_3-DJ14	38	88
SJCRH30	H3K27ac	bsat_14_4-DJ14	212	312
SJCRH30	H3K27ac	bsat_14_5(LSAU-BSAT_Composite)	400	1562
SJCRH30	H3K27ac	bsat_14_6	26	116
SJCRH30	H3K27ac	bsat_14_8	3869	9282
SJCRH30	H3K27ac	bsat_14_7(LSAU-BSAT_Composite,no_beta)	32	92
SJCRH30	H3K27ac	bsat_14_9	7397	13026
SJCRH30	H3K27ac	bsat_14_10(LSAU-BSAT_Composite,no_beta)	85	79
SJCRH30	H3K27ac	bsat_14_11(LSAU-BSAT_Composite,no_beta)	71	62
SJCRH30	H3K27ac	bsat_14_12(LSAU-BSAT_Composite,no_beta)	20	25
SJCRH30	H3K27ac	bsat_14_13(LSAU-BSAT_Composite,no_beta)	32	34
SJCRH30	H3K27ac	bsat_14_14(LSAU-BSAT_Composite,no_beta)	129	169
SJCRH30	H3K27ac	bsat_14_15(LSAU-BSAT_Composite,no_beta)	110	148
SJCRH30	H3K27ac	bsat_14_16(LSAU-BSAT_Composite,no_beta)	50	84
SJCRH30	H3K27ac	bsat_15_1(LSAU-BSAT_Composite)	6358	6935
SJCRH30	H3K27ac	bsat_15_2(LSAU-BSAT_Composite)	26	56
SJCRH30	H3K27ac	bsat_15_3-DJ15	58	89
SJCRH30	H3K27ac	bsat_15_4-DJ15	266	300
SJCRH30	H3K27ac	bsat_15_5(LSAU-BSAT_Composite)	222	226
SJCRH30	H3K27ac	bsat_15_6	12	9
SJCRH30	H3K27ac	bsat_15_7(LSAU-BSAT_Composite,no_beta)	44	63
SJCRH30	H3K27ac	bsat_15_8(LSAU-BSAT_Composite,no_beta)	309	322
SJCRH30	H3K27ac	bsat_15_9(LSAU-BSAT_Composite,no_beta)	77	92
SJCRH30	H3K27ac	bsat_15_10(LSAU-BSAT_Composite,no_beta)	224	310
SJCRH30	H3K27ac	bsat_16_5(LSAU-BSAT_Composite,no_beta)	312	408
SJCRH30	H3K27ac	bsat_16_6	508	706
SJCRH30	H3K27ac	bsat_16_7	122	168
SJCRH30	H3K27ac	bsat_16_8	72	107
SJCRH30	H3K27ac	bsat_16_9	57	93
SJCRH30	H3K27ac	bsat_16_10	307	374
SJCRH30	H3K27ac	bsat_16_11	393	531
SJCRH30	H3K27ac	bsat_19_1	305	363
SJCRH30	H3K27ac	bsat_19_2	603	685
SJCRH30	H3K27ac	bsat_19_3	222	257
SJCRH30	H3K27ac	bsat_19_4	672	757
SJCRH30	H3K27ac	bsat_19_5	260	317
SJCRH30	H3K27ac	bsat_19_6	136	170
SJCRH30	H3K27ac	bsat_19_7	152	176
SJCRH30	H3K27ac	bsat_19_8	301	435
SJCRH30	H3K27ac	bsat_19_9	372	529
SJCRH30	H3K27ac	bsat_19_10	448	584
SJCRH30	H3K27ac	bsat_19_11	462	579
SJCRH30	H3K27ac	bsat_19_12	477	541
SJCRH30	H3K27ac	bsat_19_13	222	261
SJCRH30	H3K27ac	bsat_19_14	409	417
SJCRH30	H3K27ac	bsat_19_15	340	461
SJCRH30	H3K27ac	bsat_19_16	1229	1531
SJCRH30	H3K27ac	bsat_19_17	1142	1443
SJCRH30	H3K27ac	bsat_19_18	749	995
SJCRH30	H3K27ac	bsat_19_19	850	1064
SJCRH30	H3K27ac	bsat_19_20	497	665
SJCRH30	H3K27ac	bsat_19_21	1208	1440
SJCRH30	H3K27ac	bsat_19_22	396	525
SJCRH30	H3K27ac	bsat_19_23	451	579
SJCRH30	H3K27ac	bsat_19_24	784	939
SJCRH30	H3K27ac	bsat_19_25	445	508
SJCRH30	H3K27ac	bsat_19_26	311	380
SJCRH30	H3K27ac	bsat_19_27	219	262
SJCRH30	H3K27ac	bsat_19_28	119	147
SJCRH30	H3K27ac	bsat_19_29	264	362
SJCRH30	H3K27ac	bsat_19_30	322	321
SJCRH30	H3K27ac	bsat_19_31	33	25
SJCRH30	H3K27ac	bsat_19_32	956	1108
SJCRH30	H3K27ac	bsat_19_33	822	1004
SJCRH30	H3K27ac	bsat_19_34	982	1229
SJCRH30	H3K27ac	bsat_19_35	1445	1754
SJCRH30	H3K27ac	bsat_19_36	768	971
SJCRH30	H3K27ac	bsat_20_1(LSAU-BSAT_Composite,no_beta)	81	112
SJCRH30	H3K27ac	bsat_20_2(LSAU-BSAT_Composite,no_beta)	389	469
SJCRH30	H3K27ac	bsat_20_3(LSAU-BSAT_Composite,no_beta)	167	201
SJCRH30	H3K27ac	bsat_20_4(LSAU-BSAT_Composite,no_beta)	387	421
SJCRH30	H3K27ac	bsat_20_5(LSAU-BSAT_Composite,no_beta)	213	233
SJCRH30	H3K27ac	bsat_20_6	195	187
SJCRH30	H3K27ac	bsat_20_7(LSAU-BSAT_Composite,no_beta)	105	104
SJCRH30	H3K27ac	bsat_20_8(LSAU-BSAT_Composite,no_beta)	26	30
SJCRH30	H3K27ac	bsat_20_9(LSAU-BSAT_Composite,no_beta)	135	151
SJCRH30	H3K27ac	bsat_21_1(LSAU-BSAT_Composite)	2437	3212
