Control_ct,Control_hsat3,Control_hsat1,Control_mon,Control_hsat2,Control_dhor,Control_hsat5,Control_hsat4,Control_gsat,H3K9me3_ct,H3K9me3_hsat3,H3K9me3_hsat1,H3K9me3_mon,H3K9me3_hsat2,H3K9me3_dhor,H3K9me3_hsat5,H3K9me3_hsat4,H3K9me3_gsat
0.31253122294634716,0.33906832987992486,0.358558706408737,0.3327079529292264,0.30032622846564466,0.0,0.3571327660770164,0.26526570421749285,0.20504476710269368,0.3322434419535532,0.49966977704994353,0.43486342594590865,0.426163793637209,0.3449194129272253,0.0,0.4294887735345419,0.3910363479287047,0.20207538649491927
0.3042956071211231,0.36400388383269894,0.35663939693780083,0.34310587365000206,0.2768113872700729,0.0,0.339116435573092,0.2773082262699359,0.19659957491024418,0.2805130958684822,0.5627922296836285,0.4359123892300927,0.4589190717831476,0.290124325358381,0.0,0.4162618959228731,0.3850353543337884,0.22343272690262847
0.31828106873597223,0.3425562192362888,0.3663453752464514,0.3485228612106768,0.3113067199934547,0.0,0.29064348224069564,0.27161426707253067,0.16052553924886495,0.2778958220662486,0.5461931891957758,0.3949686890483433,0.44210315421243673,0.38296827823693586,0.0,0.502618722137657,0.47410468934946454,0.20897437719877734
0.3194687409454019,0.37584329954904344,0.33806947431465967,0.3288456144032362,0.18634782538216618,0.0,0.3625215049998361,0.2283385694987385,0.20890197208848416,0.29389780208762106,0.5566092275729213,0.38310348618973805,0.4174301192167916,0.21401733385484184,0.0,0.4734558364508949,0.37095198136570556,0.230224689765195
0.30063989578847666,0.3773803736446548,0.3610305777918999,0.3510390036719422,0.18508968534763687,0.0,0.30114559149761294,0.24351503430537635,0.15640950328780087,0.2928299796591908,0.5624571922350508,0.34450124978300506,0.46366254974126053,0.21329662249397063,0.0,0.4719910532369692,0.46160779059830565,0.1580445115588769
0.30190458926600955,0.3736823978254482,0.3562304793064113,0.331108581944873,0.23253270896658207,0.0,0.28933920807583763,0.3071700890238604,0.16385475341097142,0.3056621323710568,0.5243305513626016,0.3450826733386141,0.46077156440977385,0.27304457681531635,0.0,0.422890544386722,0.5364296849305882,0.15122283959108915
0.2939252688378067,0.3654039072262689,0.4407064951675165,0.3375079927787688,0.2784487029808233,0.0,0.32694863279956565,0.3083129761550243,0.181464231739875,0.3572127379489412,0.5698709782998893,0.41694820458733345,0.46446693896338426,0.39122329772704834,0.0,0.40884021587687136,0.4985221974227706,0.23559441188634325
0.29195208539383216,0.34880569095750796,0.49204874509241303,0.3342906409141678,0.3111941872005061,0.0,0.2714700760283473,0.3317499574400559,0.13801140157747208,0.3416352082052097,0.5626688604997165,0.4048559466515329,0.42188530087314147,0.41755472701781454,0.0,0.39671630631121,0.5221910469392196,0.2040850346476234
0.2877946937716606,0.3859578126296199,0.39560129474072725,0.3253549956409968,0.26322430252154877,0.0,0.2892912265182933,0.3693382179595462,0.11619989638980953,0.3219643930289777,0.626625495650735,0.3819345419697535,0.41668719017535677,0.3379677224692736,0.0,0.3960446659496236,0.5611620977048787,0.17808396385473843
0.3071920755529644,0.3962919124878716,0.3558093109065529,0.2998138802717175,0.2786716480698858,0.0,0.3024279155806635,0.3526657856093476,0.11769449829353051,0.34197302063120993,0.61887342921433,0.33436401742829086,0.38530805529785117,0.328178641651523,0.0,0.42141588605512736,0.49277139445444823,0.14237300783946302
0.29979852087862324,0.4242473154390278,0.3573392567099433,0.29930559067844176,0.3041749189493854,0.0,0.22914646927402527,0.3513827997728555,0.21366693828324884,0.30868533960028616,0.6434648809757528,0.32617407278485144,0.39107188466899473,0.34633308168241234,0.0,0.38899998225878835,0.5319410449591306,0.21655335880074494
0.2841778421760579,0.49578988333061363,0.35457674503756303,0.3327177022079075,0.29443766490153905,0.257393185848916,0.2973435325456147,0.37385429792552494,0.1622376526520066,0.27839288864387174,0.7333823012439712,0.3023765955953404,0.4535127823520421,0.29817053319330866,0.2575849484806296,0.3464737800096498,0.5195202713548168,0.1445801625957583
0.3040062111251877,0.4774406036930528,0.3383922194883467,0.3420115425424919,0.2868943759977415,0.49917411258032246,0.2930712587396828,0.2992753461231034,0.23003931254595908,0.28626292389379776,0.731215313878039,0.3415815606504103,0.47854614121630557,0.33547426561478644,0.5529088525715015,0.44183582611351524,0.43905318209290695,0.19126770305858135
0.3205191920513584,0.4596604113792766,0.3456415960065079,0.3274200443442497,0.32645599626387234,0.40998087647725734,0.30730422482276376,0.31614795923329364,0.2355284314164934,0.3083962692216273,0.7818901104669439,0.28331847732024357,0.4221776126373688,0.36060704433662827,0.46058348013725214,0.4786557096409029,0.4226113105703369,0.23101543771795888
0.3008944923422154,0.41167348289872624,0.3146219029261063,0.32534653073783504,0.28538625913161036,0.39999625364463376,0.2856562228588185,0.27406572408936397,0.24416083003298306,0.2752230989658396,0.7209105280168047,0.25913878933944695,0.4090672469081598,0.350584997915276,0.4678926558045118,0.3191117873927066,0.41570333005657306,0.25928398147465936
0.3207879301552197,0.4349124922215027,0.35749180786939866,0.3290637770609926,0.3241026292393372,0.5083901353623622,0.3252843416233593,0.22297849460899516,0.20459579031214223,0.3091078338056878,0.7416231729664544,0.32839669109476677,0.40165490547026583,0.4192620930196986,0.40383304452412183,0.41326918070344965,0.3613053222850358,0.21548607491390484
0.2874447046696066,0.3130481919494687,0.34533559495298466,0.3304617153484869,0.3519011741808967,1.3206082610998686,0.3047636798335777,0.3749276885863365,0.17968743362026773,0.26805407309351914,0.5552806453716832,0.31065069836472503,0.4000705913709227,0.39163631747706956,0.4571193743618018,0.3907208558802777,0.6187741265847982,0.2596367342092791
0.2862964144292748,0.2678077665021086,0.32808416996306367,0.3184384009172864,0.4341709852634306,0.43843177078255224,0.2328398641320574,0.3557050836115814,0.16518275306475166,0.2909360997787294,0.4283514145068304,0.2863603549041715,0.3907245583081133,0.586422660142026,0.40856399184863007,0.35996700502112766,0.5147140067314486,0.2300835241069464
0.2840158309103084,0.42259042317154566,0.36091281512832424,0.3197796601255538,0.4084680960300318,0.7092697791572257,0.2849377725745495,0.33978654478481823,0.17326460245633868,0.2891149594658621,0.5905949758443985,0.3565791080659136,0.41513860308967226,0.5776292604649853,0.46067153043620107,0.3664960741711135,0.39338646227786267,0.24472090429286666
0.26882444201075156,0.3450253910366406,0.34618108393040453,0.3212563841350205,0.45427594255140225,0.7234373323899764,0.29890143083193216,0.33131571624666156,0.17583333094317277,0.2677857944518149,0.5207999567117464,0.3983172040998555,0.4173598230192777,0.6067869709152625,0.5063593250653615,0.3771223353110854,0.4090815861073513,0.2650439341364165
0.3042352973767018,0.37364339947821557,0.30636646058413264,0.3126906999592573,0.32849836878503397,0.3094571601841756,0.2807481745282784,0.29870085914636707,0.17995348409776246,0.27643899516910897,0.4254763628224296,0.30369865116638833,0.37107289106729696,0.42985121803118326,0.48113862052981493,0.23534246106326429,0.3853282724874725,0.23250889581961948
0.3101202448886276,0.35675359115492306,0.37654683877499456,0.32635530771981236,0.3543854466534232,0.32338136734634865,0.36000765939226936,0.3448369330765184,0.18699313842236845,0.28230209990179705,0.38320490240751953,0.3620736130687103,0.34856591627217554,0.41533479265325735,0.5845738680169044,0.22206538299107303,0.4396116513454081,0.2712708704323574
0.3110695952396465,0.35726534855623215,0.40142173974430684,0.301540965082365,0.3229981343405678,0.2783743658142137,0.35659378955989585,0.3556178655792067,0.19845951441800036,0.2753392168037629,0.4173060429046098,0.3629938273624172,0.3377924438041702,0.3622578384230688,0.4581542101747427,0.2387965662916399,0.40617471009245876,0.26136176407922124
0.32157351319508337,0.38430746442253727,0.38892319784680696,0.31240433023799385,0.2936051067317462,0.32244056088820805,0.3784400636881809,0.3397641354968686,0.2444094113357045,0.29369435641617087,0.38025177984077346,0.3935351433521847,0.34456977192672994,0.35051769183470866,0.4327383567035072,0.3181496481049776,0.4463486673944235,0.25967786736278353
0.3013466788723886,0.36368767898424154,0.37053640743246835,0.3231493279769006,0.2964325389599918,0.29160271394805887,0.5031133206759463,0.3963287271736284,0.17005857293406343,0.291636351982173,0.3597354239002346,0.3644923779264527,0.3592970781947952,0.3414883560707836,0.3651472634192097,0.47082793588735966,0.41994708340499814,0.17918634239078565
